r_um,h_waves_633nm,thickness_um
1.321321321321321193e+03,2.457608863132544119e+00,3.111332820725800641e+00
1.325325325325325366e+03,2.602669566033948723e+00,3.294979670598979116e+00
1.329329329329329084e+03,2.154207871890302606e+00,2.727227165813123300e+00
1.333333333333333258e+03,1.424470577658859538e+00,1.803379751316116275e+00
1.337337337337337203e+03,8.901222627965945655e-01,1.126894784700488650e+00
1.341341341341341376e+03,7.629587587032821139e-01,9.659057885183550685e-01
1.345345345345345095e+03,8.474807613581594179e-01,1.072910643879430026e+00
1.349349349349349268e+03,8.040210872819835153e-01,1.017890696498991110e+00
1.353353353353353441e+03,5.344361402121815541e-01,6.765961535086217893e-01
1.357357357357357159e+03,2.941792881338296528e-01,3.724309787774283675e-01
1.361361361361361332e+03,4.175138005720602230e-01,5.285724715242282601e-01
1.365365365365365278e+03,9.366159032815913887e-01,1.185755733554494595e+00
1.369369369369369451e+03,1.487892544089437052e+00,1.883671960817227431e+00
1.373373373373373170e+03,1.618301406151137378e+00,2.048769580187340011e+00
